order_id,delivery_date,region,service_type,promised_time_minutes,delivery_time_minutes,customer_id,customer_rating,promotional_campaign_id
D1202,22/04/2024,North,Express,1440,1307,C219,1,
D1203,21/03/2024,North,Parcel,120,85,C178,3,
D1204,5/7/2024,South,Parcel,2880,2749,C215,4,CAMP003
D1205,22/04/2024,West,Express,90,10,C191,2,CAMP002
D1206,2/1/2024,South,Parcel,60,10,C113,,CAMP001
D1207,9/5/2024,South,Express,1440,1394,C254,5,
D1208,7/8/2024,West,Warehousing,1440,1100,C224,4,
D1209,23/02/2024,West,Express,120,28,C267,4,CAMP002
D1210,8/12/2024,West,Warehousing,1440,1318,C157,5,CAMP001
D1211,11/8/2024,North,Parcel,2880,3090,C127,2,
D1212,12/8/2024,East,Express,2880,2678,C125,4,CAMP001
D1213,5/5/2024,North,Parcel,120,10,C212,2,
D1214,9/5/2024,East,Warehousing,2880,2804,C290,4,
D1215,22/02/2024,North,Warehousing,90,10,C165,3,CAMP003
D1216,20/06/2024,East,Warehousing,120,393,C252,5,CAMP002
D1217,5/8/2024,North,Parcel,90,10,C230,5,
D1218,8/6/2024,West,Parcel,60,10,C299,2,
D1219,16/07/2024,South,Parcel,90,156,C143,3,
D1220,3/9/2024,North,Parcel,60,236,C196,,
D1221,19/11/2024,East,Warehousing,60,10,C141,3,CAMP001
D1222,21/07/2024,West,Warehousing,90,10,C105,5,
D1223,2/7/2024,North,Express,120,90,C266,4,
D1224,2/5/2024,North,Express,2880,3150,C279,3,
D1225,11/9/2024,West,Parcel,2880,2936,C122,3,CAMP001
D1226,20/10/2024,North,Warehousing,60,107,C188,2,
D1227,6/10/2024,South,Warehousing,60,10,C222,4,
D1228,20/11/2024,North,Warehousing,120,10,C277,3,CAMP002
D1229,7/4/2024,South,Express,1440,1443,C270,4,CAMP001
D1230,16/07/2024,South,Express,90,10,C246,3,
D1231,27/08/2024,West,Warehousing,60,216,C296,4,CAMP001
D1232,23/05/2024,North,Warehousing,2880,2711,C150,5,CAMP002
D1233,6/4/2024,West,Warehousing,120,116,C110,,CAMP002
D1234,19/07/2024,North,Express,90,10,C111,3,
D1235,3/5/2024,North,Warehousing,120,42,C173,5,
D1236,5/7/2024,East,Warehousing,90,10,C107,4,
D1237,21/11/2024,North,Parcel,90,10,C251,4,CAMP002
D1238,14/12/2024,West,Parcel,60,168,C140,,
D1239,15/09/2024,South,Express,120,448,C263,2,
D1240,27/05/2024,North,Warehousing,120,345,C184,2,
D1241,8/9/2024,East,Warehousing,2880,3016,C171,5,
D1242,11/12/2024,West,Parcel,2880,2798,C154,3,CAMP001
D1243,26/05/2024,North,Express,60,221,C236,5,
D1244,27/05/2024,West,Parcel,60,304,C146,5,CAMP001
D1245,17/12/2024,East,Parcel,1440,1467,C242,1,
D1246,17/07/2024,East,Parcel,2880,2644,C275,5,CAMP002
D1247,3/11/2024,West,Parcel,90,10,C203,3,CAMP002
D1248,7/5/2024,North,Warehousing,120,460,C141,4,CAMP002
D1249,8/2/2024,South,Warehousing,60,46,C159,4,
D1250,3/12/2024,East,Parcel,120,10,C297,5,CAMP002
D1251,25/12/2024,North,Express,120,10,C111,1,
D1252,8/5/2024,North,Express,1440,1356,C229,3,CAMP003
D1253,23/09/2024,South,Express,2880,3087,C106,4,CAMP001
D1254,30/05/2024,East,Express,60,10,C179,4,
D1255,24/10/2024,East,Parcel,120,330,C230,4,CAMP002
D1256,8/4/2024,North,Warehousing,60,10,C208,2,CAMP003
D1257,19/09/2024,North,Express,90,10,C102,3,
D1258,8/9/2024,South,Parcel,1440,1342,C126,3,CAMP002
D1259,23/05/2024,South,Express,90,158,C213,5,CAMP001
D1260,11/12/2024,East,Express,60,112,C206,3,CAMP002
D1261,21/04/2024,West,Parcel,60,10,C139,2,
D1262,29/02/2024,East,Warehousing,2880,2810,C260,,
D1263,2/1/2024,North,Warehousing,120,656,C228,1,
D1264,30/10/2024,East,Parcel,120,10,C107,,
D1265,10/9/2024,West,Warehousing,90,222,C200,4,CAMP001
D1266,19/05/2024,South,Parcel,1440,1021,C259,5,CAMP003
D1267,6/2/2024,West,Parcel,120,292,C223,3,
D1268,8/6/2024,West,Parcel,2880,2702,C275,1,CAMP001
D1269,9/1/2024,West,Warehousing,90,170,C206,4,CAMP002
D1270,20/08/2024,South,Parcel,90,10,C200,5,CAMP002
D1271,8/4/2024,West,Express,2880,2938,C103,4,CAMP003
D1272,26/05/2024,West,Warehousing,1440,1259,C297,2,
D1273,30/10/2024,West,Warehousing,2880,2737,C209,4,CAMP001
D1274,26/07/2024,North,Warehousing,1440,1528,C118,4,
D1275,10/5/2024,West,Warehousing,2880,2794,C131,4,CAMP001
D1276,31/05/2024,South,Express,2880,2956,C236,4,
D1277,23/02/2024,West,Warehousing,60,22,C111,5,CAMP001
D1278,29/04/2024,West,Warehousing,90,103,C238,4,CAMP003
D1279,9/6/2024,South,Parcel,2880,2969,C145,1,
D1280,25/04/2024,West,Warehousing,2880,2810,C218,3,
D1281,15/03/2024,South,Express,120,10,C115,1,CAMP003
D1282,22/04/2024,West,Express,90,10,C228,3,CAMP002
D1283,13/04/2024,South,Express,120,359,C162,3,CAMP002
D1284,5/12/2024,West,Express,90,113,C208,1,CAMP002
D1285,10/9/2024,West,Warehousing,120,10,C218,3,CAMP002
D1286,14/08/2024,North,Warehousing,2880,2960,C120,2,CAMP003
D1287,21/04/2024,North,Express,2880,2973,C257,5,CAMP002
D1288,8/4/2024,West,Express,60,163,C112,5,CAMP002
D1289,1/6/2024,West,Warehousing,120,10,C261,1,
D1290,14/12/2024,East,Express,1440,1304,C103,,
D1291,31/12/2024,South,Parcel,60,10,C255,4,
D1292,3/12/2024,East,Express,120,48,C201,3,CAMP001
D1293,12/7/2024,North,Express,120,227,C158,1,CAMP001
D1294,5/11/2024,North,Parcel,60,119,C227,4,
D1295,11/6/2024,North,Parcel,2880,2955,C126,4,CAMP002
D1296,26/07/2024,North,Warehousing,120,390,C168,4,CAMP001
D1297,17/06/2024,West,Warehousing,2880,3017,C124,1,
D1298,9/6/2024,North,Parcel,60,32,C230,1,
D1299,8/3/2024,West,Parcel,2880,2644,C196,3,
D1300,15/10/2024,West,Warehousing,90,10,C295,3,CAMP002
D1301,3/10/2024,North,Express,1440,1388,C124,2,CAMP001
D1302,30/10/2024,North,Parcel,120,285,C247,3,
D1303,14/05/2024,South,Warehousing,1440,1435,C261,5,CAMP002
D1304,13/07/2024,East,Express,2880,2749,C253,5,
D1305,7/5/2024,North,Parcel,120,10,C225,3,
D1306,2/2/2024,South,Express,2880,2867,C232,5,
D1307,24/06/2024,South,Warehousing,90,267,C288,3,CAMP002
D1308,22/01/2024,East,Parcel,60,378,C108,3,CAMP002
D1309,25/08/2024,West,Express,120,79,C215,2,
D1310,6/6/2024,North,Parcel,90,82,C277,4,
D1311,7/2/2024,East,Express,90,10,C233,,
D1312,17/08/2024,North,Warehousing,120,507,C159,4,CAMP001
D1313,30/12/2024,South,Warehousing,2880,2600,C271,3,CAMP001
D1314,20/02/2024,South,Parcel,90,324,C220,4,
D1315,20/09/2024,West,Express,1440,1367,C238,2,
D1316,9/10/2024,South,Parcel,90,10,C293,5,
D1317,27/01/2024,South,Parcel,2880,2658,C274,4,CAMP002
D1318,13/08/2024,East,Express,2880,3362,C207,3,
D1319,3/10/2024,North,Express,1440,1484,C207,4,
D1320,12/10/2024,North,Express,90,94,C230,4,
D1321,6/4/2024,East,Warehousing,2880,3057,C175,1,CAMP003
D1322,10/10/2024,West,Parcel,120,10,C129,4,CAMP001
D1323,12/11/2024,North,Parcel,60,60,C120,2,
D1324,30/10/2024,South,Warehousing,60,71,C255,4,CAMP002
D1325,26/05/2024,North,Express,60,10,C289,5,CAMP003
D1326,4/1/2024,South,Warehousing,90,329,C260,5,
D1327,4/2/2024,West,Warehousing,1440,1397,C262,4,CAMP002
D1328,10/7/2024,East,Warehousing,2880,2570,C279,4,
D1329,18/02/2024,North,Parcel,120,60,C133,2,CAMP001
D1330,17/01/2024,East,Warehousing,120,169,C140,4,
D1331,20/06/2024,North,Parcel,90,10,C150,3,
D1332,7/8/2024,South,Parcel,60,10,C274,3,CAMP001
D1333,6/6/2024,East,Parcel,90,10,C181,3,CAMP001
D1334,15/02/2024,North,Express,1440,1684,C157,2,CAMP003
D1335,6/1/2024,South,Parcel,1440,1343,C174,4,CAMP001
D1336,8/4/2024,East,Parcel,2880,3165,C284,1,
D1337,20/08/2024,East,Express,2880,2758,C122,4,
D1338,6/2/2024,North,Parcel,1440,1505,C275,3,CAMP003
D1339,6/10/2024,North,Warehousing,1440,1351,C227,1,CAMP002
D1340,14/12/2024,North,Warehousing,1440,1590,C249,4,CAMP003
D1341,28/10/2024,South,Parcel,90,10,C116,1,
D1342,29/06/2024,North,Express,1440,1588,C168,3,CAMP001
D1343,4/4/2024,East,Warehousing,120,142,C207,4,
D1344,8/4/2024,East,Express,60,10,C238,1,
D1345,6/7/2024,North,Express,1440,1407,C193,5,
D1346,25/04/2024,North,Warehousing,60,366,C114,1,CAMP002
D1347,9/7/2024,West,Express,90,117,C190,2,
D1348,9/9/2024,East,Warehousing,60,10,C262,4,CAMP001
D1349,9/6/2024,South,Express,90,10,C132,3,CAMP001
D1350,12/9/2024,West,Warehousing,120,221,C224,2,
D1351,18/11/2024,North,Parcel,90,129,C115,3,
D1352,7/5/2024,North,Warehousing,90,229,C261,3,CAMP001
D1353,18/01/2024,East,Warehousing,2880,2588,C165,5,CAMP002
D1354,7/10/2024,North,Warehousing,1440,1206,C267,3,CAMP002
D1355,10/8/2024,South,Warehousing,1440,1669,C255,4,CAMP002
D1356,23/02/2024,East,Express,120,186,C146,5,CAMP002
D1357,27/02/2024,North,Parcel,120,226,C266,3,CAMP001
D1358,18/11/2024,East,Warehousing,1440,1248,C297,5,CAMP003
D1359,25/12/2024,North,Express,2880,2684,C247,3,
D1360,22/06/2024,North,Parcel,1440,1638,C223,,
D1361,6/10/2024,North,Parcel,2880,3087,C100,1,
D1362,23/04/2024,South,Parcel,120,10,C299,4,CAMP001
D1363,14/10/2024,South,Parcel,60,10,C186,3,
D1364,7/12/2024,East,Warehousing,120,99,C227,3,
D1365,30/05/2024,North,Warehousing,120,10,C290,4,
D1366,6/5/2024,North,Express,90,10,C166,4,
D1367,3/6/2024,South,Express,90,10,C103,1,
D1368,29/09/2024,North,Express,90,10,C285,2,
D1369,13/04/2024,South,Parcel,90,10,C252,4,CAMP002
D1370,25/10/2024,North,Parcel,2880,2661,C146,4,
D1371,2/9/2024,East,Warehousing,1440,1499,C137,,
D1372,24/06/2024,North,Parcel,60,49,C242,4,
D1373,8/2/2024,North,Parcel,120,216,C290,,
D1374,18/06/2024,West,Parcel,2880,2551,C120,4,CAMP001
D1375,3/9/2024,South,Express,60,61,C156,3,CAMP002
D1376,26/01/2024,North,Express,2880,3295,C216,2,
D1377,20/12/2024,North,Warehousing,2880,2806,C280,4,
D1378,1/11/2024,West,Parcel,120,284,C145,4,
D1379,13/01/2024,West,Parcel,1440,1603,C241,1,CAMP002
D1380,11/11/2024,South,Warehousing,90,263,C244,3,CAMP002
D1381,8/11/2024,West,Parcel,1440,1473,C138,,
D1382,5/2/2024,East,Parcel,120,233,C236,4,
D1383,21/06/2024,West,Express,120,259,C198,3,
D1384,20/01/2024,East,Warehousing,120,247,C176,3,CAMP003
D1385,16/11/2024,South,Warehousing,60,10,C214,2,
D1386,20/09/2024,South,Warehousing,1440,1099,C233,3,CAMP002
D1387,21/05/2024,South,Warehousing,1440,1130,C250,3,
D1388,22/05/2024,South,Express,2880,2826,C286,1,CAMP003
D1389,1/4/2024,South,Express,2880,2998,C190,4,CAMP003
D1390,19/12/2024,East,Parcel,2880,2660,C197,3,
D1391,17/11/2024,East,Parcel,120,304,C219,5,
D1392,14/10/2024,South,Parcel,1440,1340,C145,5,CAMP001
D1393,2/8/2024,West,Parcel,120,22,C137,2,
D1394,7/12/2024,North,Express,60,10,C241,4,CAMP002
D1395,20/02/2024,South,Warehousing,2880,2504,C199,3,CAMP003
D1396,1/6/2024,West,Express,120,165,C171,5,CAMP001
D1397,4/7/2024,North,Parcel,120,462,C289,2,CAMP002
D1398,3/3/2024,South,Express,60,48,C134,4,
D1399,8/7/2024,South,Warehousing,90,10,C246,4,CAMP001
D1400,4/5/2024,East,Warehousing,1440,1596,C129,3,CAMP003
D1401,29/05/2024,North,Express,90,10,C177,2,
D1402,9/11/2024,North,Express,2880,2639,C183,4,CAMP001
D1403,27/02/2024,West,Express,120,73,C212,4,
D1404,7/12/2024,East,Parcel,60,84,C124,3,CAMP003
D1405,31/10/2024,East,Express,60,10,C267,4,
D1406,28/06/2024,East,Express,1440,1385,C187,3,CAMP002
D1407,18/06/2024,East,Express,90,233,C113,4,CAMP001
D1408,21/11/2024,North,Warehousing,1440,1610,C253,2,CAMP001
D1409,27/09/2024,North,Warehousing,120,370,C201,5,CAMP001
D1410,23/02/2024,South,Parcel,1440,1821,C249,3,CAMP001
D1411,10/4/2024,South,Parcel,60,221,C275,3,
D1412,20/09/2024,East,Warehousing,60,17,C182,1,
D1413,22/02/2024,East,Warehousing,2880,3051,C209,2,
D1414,29/02/2024,East,Warehousing,2880,2973,C278,4,
D1415,17/04/2024,South,Express,120,221,C230,3,CAMP001
D1416,5/1/2024,West,Express,90,125,C269,5,CAMP002
D1417,12/4/2024,West,Warehousing,1440,1258,C118,1,CAMP002
D1418,14/07/2024,South,Express,120,10,C127,3,CAMP002
D1419,18/09/2024,South,Express,2880,2861,C272,3,
D1420,30/12/2024,South,Parcel,1440,1469,C170,1,
D1421,15/12/2024,South,Warehousing,2880,2745,C162,2,CAMP002
D1422,16/02/2024,South,Warehousing,1440,1524,C172,3,CAMP002
D1423,20/12/2024,South,Express,90,506,C223,3,
D1424,6/11/2024,East,Warehousing,120,10,C218,3,
D1425,3/11/2024,East,Parcel,1440,1556,C220,4,CAMP002
D1426,23/05/2024,East,Parcel,60,47,C118,4,
D1427,25/09/2024,East,Parcel,60,150,C274,1,
D1428,3/5/2024,South,Warehousing,1440,1354,C241,3,CAMP002
D1429,15/04/2024,West,Warehousing,1440,1411,C219,,CAMP002
D1430,6/6/2024,North,Warehousing,1440,1465,C265,4,
D1431,26/05/2024,South,Warehousing,60,10,C280,4,
D1432,24/05/2024,North,Warehousing,60,10,C160,3,
D1433,29/04/2024,West,Parcel,1440,1394,C263,4,CAMP001
D1434,14/11/2024,East,Express,2880,2597,C267,4,CAMP002
D1435,1/10/2024,West,Parcel,2880,3010,C129,4,
D1436,1/4/2024,South,Warehousing,90,10,C108,,
D1437,27/02/2024,East,Parcel,120,325,C163,2,CAMP001
D1438,11/12/2024,South,Warehousing,2880,2965,C260,1,
D1439,16/08/2024,East,Warehousing,60,146,C219,4,
D1440,26/04/2024,North,Parcel,2880,2448,C151,5,
D1441,13/11/2024,North,Warehousing,90,25,C188,2,
D1442,5/10/2024,North,Express,90,320,C241,3,
D1443,6/5/2024,West,Warehousing,120,17,C152,1,CAMP003
D1444,8/5/2024,South,Express,2880,2665,C286,3,
D1445,27/02/2024,West,Express,60,10,C177,4,CAMP001
D1446,1/5/2024,North,Warehousing,60,47,C140,4,
D1447,1/1/2024,South,Parcel,1440,1270,C295,3,CAMP001
D1448,26/08/2024,North,Express,60,306,C167,3,
D1449,16/10/2024,West,Parcel,120,108,C107,1,CAMP002
